content_id,id,keyword
542709,5,semi
542708,1,vedic
542708,2,sanskar
542708,3,education
542708,4,rajasthan
542708,5,government
542707,1,meteor
542707,2,image
542707,3,green
542707,4,song
542707,5,light
542704,1,ball
542704,2,cricket
542704,3,movie
542704,4,wrong
542704,5,match
542703,1,yamuna
542703,2,delhi
542703,3,river
542703,4,detergent
542703,5,discharge
542702,1,police
542702,2,accused
542702,3,woman
542702,4,hospital
542702,5,official
542699,1,police
542699,2,restaurant
542699,3,burger
542699,4,officer
542699,5,incident
542698,1,renewal
542698,2,passport
542698,3,order
542698,4,report
542698,5,fir
542695,1,variant
542695,2,delta
542695,3,antibody
542695,4,mutation
542695,5,sars
542694,1,dog
542694,2,love
542694,3,human
542694,4,pet
542694,5,toddler
542692,1,vaccine
542692,2,novavax
542692,3,covid
542692,4,company
542692,5,efficacy
542691,1,state
542691,2,tourist
542691,3,covid
542691,4,shimla
542691,5,himachal
542690,1,covid
542690,2,brother
542690,3,parent
542690,4,smita
542690,5,baby
542689,1,prasad
542689,2,wasan
542689,3,well
542689,4,galti
542689,5,karne
542687,1,liquor
542687,2,shop
542687,3,tamil
542687,4,state
542687,5,nadu
542686,1,petition
542686,2,lisa
542686,3,mona
542686,4,bezos
542686,5,jeff
542685,1,covid
542685,2,delta
542685,3,variant
542685,4,vaccine
542685,5,lowest
542678,1,whatsapp
542678,2,update
542678,3,change
542678,4,user
542678,5,recent
542677,1,adani
542677,2,suchetadalal
542677,3,adanigroup
542677,4,scam
542677,5,share
542676,1,neha
542676,2,song
542676,3,kakkar
542676,4,music
542676,5,singer
542674,1,insult
542674,2,great
542674,3,day
542674,4,nation
542674,5,sushant
542672,1,siddhant
542672,2,chaturvedis
542672,3,parent
542672,4,pursue
542672,5,sushant
542671,1,belt
542671,2,hai
542671,3,mother
542671,4,ka
542671,5,dp
542667,1,singh
542667,2,sushant
542667,3,actor
542667,4,rhea
542667,5,rajput
542666,1,meet
542666,2,sonu
542666,3,sood
542666,4,twitter
542666,5,humbled
542663,1,airport
542663,2,mumbai
542663,3,international
542663,4,central
542663,5,terminal
542662,1,read
542662,2,covid
542662,3,child
542662,4,reported
542662,5,assam
542661,1,singh
542661,2,death
542661,3,investigation
542661,4,sushant
542661,5,rajput
542660,1,skylo
542660,2,satellite
542660,3,parth
542660,4,machine
542660,5,data
542658,1,adani
542658,2,cent
542658,3,group
542658,4,report
542658,5,ltd
542657,1,elephant
542657,2,jaldapara
542657,3,baby
542657,4,video
542657,5,tube
542655,1,community
542655,2,pandemic
542655,3,deepa
542655,4,nomadic
542655,5,donate
542653,1,among
542653,2,tribute
542653,3,put
542653,4,beloved
542653,5,actor
542652,1,chess
542652,2,anand
542652,3,kamath
542652,4,world
542652,5,game
542651,1,dharavi
542651,2,reported
542651,3,total
542651,4,mumbai
542651,5,covid
542650,1,jai
542650,2,ram
542650,3,incident
542650,4,shri
542650,5,samad
542648,1,deol
542648,2,gadar
542648,3,sunny
542648,4,ameesha
542648,5,patel
542646,1,bhojpuri
542646,2,film
542646,3,content
542646,4,industry
542646,5,uttar
542645,1,minister
542645,2,prime
542645,3,israel
542645,4,bennett
542645,5,modi
542643,1,district
542643,2,police
542643,3,motorcycle
542643,4,report
542643,5,liquor
542642,1,g
542642,2,network
542642,3,airtel
542642,4,mhz
542642,5,speed
542641,1,child
542641,2,covid
542641,3,report
542641,4,evidence
542641,5,third
542637,1,yacht
542637,2,dubai
542637,3,company
542637,4,pandemic
542637,5,want
542636,1,police
542636,2,village
542636,3,deuri
542636,4,tinsukia
542636,5,thief
542634,1,chip
542634,2,ai
542634,3,human
542634,4,method
542634,5,google
542633,1,yami
542633,2,film
542633,3,role
542633,4,girl
542633,5,fair
542631,1,delta
542631,2,variant
542631,3,covid
542631,4,health
542631,5,june
542630,1,prithviraj
542630,2,film
542630,3,title
542630,4,historical
542630,5,change
542629,1,billion
542629,2,nuclear
542629,3,spending
542629,4,weapon
542629,5,world
542628,1,student
542628,2,village
542628,3,lecture
542628,4,education
542628,5,year
542627,1,day
542627,2,sushant
542627,3,exist
542627,4,everyone
542627,5,rajput
542625,1,bitcoin
542625,2,tesla
542625,3,musk
542625,4,bitcoins
542625,5,allowing
542622,1,match
542622,2,djokovic
542622,3,racquet
542622,4,set
542622,5,boy
542620,1,sonu
542620,2,nigam
542620,3,show
542620,4,singer
542620,5,judge
542617,1,village
542617,2,sapling
542617,3,green
542617,4,couple
542617,5,resolved
542614,1,jalandhar
542614,2,need
542614,3,vaccination
542614,4,hospital
542614,5,commissioner
542613,1,family
542613,2,wife
542613,3,mizoram
542613,4,ziona
542613,5,child
542612,1,covid
542612,2,state
542612,3,himachal
542612,4,pradesh
542612,5,test
542611,1,eriksen
542611,2,cardiac
542611,3,christian
542611,4,arrest
542611,5,collapsed
542609,1,covid
542609,2,health
542609,3,tnn
542609,4,variant
542609,5,delta
542606,1,novak
542606,2,djokovic
542606,3,came
542606,4,set
542606,5,win
542602,1,vishwas
542602,2,priyadarshi
542602,3,limit
542602,4,airline
542602,5,kit
542599,1,video
542599,2,car
542599,3,city
542599,4,season
542599,5,mumbai
542596,1,mask
542596,2,animal
542596,3,face
542596,4,disposal
542596,5,video
542594,1,undertaker
542594,2,actor
542594,3,akshay
542594,4,fan
542594,5,film
542593,1,read
542593,2,door
542593,3,college
542593,4,bikaner
542593,5,country
542592,1,sita
542592,2,play
542592,3,kareena
542592,4,role
542592,5,khan
542591,1,eriksen
542591,2,game
542591,3,sight
542591,4,well
542591,5,player
542589,1,ayaansh
542589,2,disorder
542589,3,rare
542589,4,happy
542589,5,life
542588,1,sonu
542588,2,sood
542588,3,actor
542588,4,ia
542588,5,sushant
542587,1,oxygen
542587,2,micro
542587,3,forest
542587,4,child
542587,5,tree
542586,1,cpr
542586,2,chest
542586,3,life
542586,4,compression
542586,5,medical
542585,1,child
542585,2,district
542585,3,data
542585,4,covid
542585,5,patient
542582,1,lagaan
542582,2,film
542582,3,nearly
542582,4,release
542582,5,ashutosh
542581,1,temple
542581,2,police
542581,3,constructed
542581,4,village
542581,5,srivastava
542579,1,elephant
542579,2,video
542579,3,kumki
542579,4,trained
542579,5,wild
542578,1,neena
542578,2,gupta
542578,3,masaba
542578,4,never
542578,5,job
542576,1,market
542576,2,allowed
542576,3,number
542576,4,covid
542576,5,basis
542575,1,friend
542575,2,show
542575,3,love
542575,4,throwback
542575,5,indiatimesthe
542574,1,bolsonaro
542574,2,president
542574,3,state
542574,4,mask
542574,5,covid
542572,1,mother
542572,2,cab
542572,3,hospital
542572,4,tulasi
542572,5,learn
542570,1,family
542570,2,canadian
542570,3,london
542570,4,gathered
542570,5,muslim
542569,1,prasad
542569,2,wasan
542569,3,restaurant
542569,4,donation
542569,5,bank
542568,1,bat
542568,2,virus
542568,3,coronaviruses
542568,4,sars
542568,5,cov
542567,1,fire
542567,2,police
542567,3,kunj
542567,4,official
542567,5,rohingya
542566,1,vaccination
542566,2,door
542566,3,bikaner
542566,4,mobile
542566,5,team
542563,1,sushant
542563,2,singh
542563,3,rajput
542563,4,day
542563,5,bollywood
542561,1,job
542561,2,pandemic
542561,3,men
542561,4,degree
542561,5,mumbra
542559,1,plessis
542559,2,du
542559,3,gladiator
542559,4,quetta
542559,5,psl
542558,1,christian
542558,2,player
542558,3,denmark
542558,4,team
542558,5,match
542557,1,farmer
542557,2,another
542557,3,protest
542557,4,shed
542557,5,frame
542556,1,auction
542556,2,blue
542556,3,origin
542556,4,bezos
542556,5,space
542555,1,sonu
542555,2,sood
542555,3,effort
542555,4,pandemic
542555,5,helping
542552,1,vaccine
542552,2,plan
542552,3,say
542552,4,delivery
542552,5,flight
542548,1,show
542548,2,life
542548,3,family
542548,4,drama
542548,5,love
542543,1,shaikh
542543,2,child
542543,3,blood
542543,4,cop
542543,5,police
542542,1,ring
542542,2,proposal
542542,3,pani
542542,4,come
542542,5,puri
542541,1,khan
542541,2,nusrats
542541,3,pregnancy
542541,4,nikhil
542541,5,child
542539,1,total
542539,2,death
542539,3,read
542539,4,covid
542539,5,number
542538,1,test
542538,2,sehwag
542538,3,ball
542538,4,rohit
542538,5,cricket
542537,1,khan
542537,2,sita
542537,3,kapoor
542537,4,role
542537,5,maa
542536,1,village
542536,2,vaccination
542536,3,population
542536,4,achieved
542536,5,age
542535,1,chhetri
542535,2,international
542535,3,say
542535,4,sunil
542535,5,captain
542534,1,bank
542534,2,robbery
542534,3,ngo
542534,4,arrested
542534,5,york
542532,1,vaccine
542532,2,poonawalla
542532,3,government
542532,4,security
542532,5,sii
542530,1,little
542530,2,move
542530,3,folk
542530,4,boy
542530,5,dancing
542529,1,covid
542529,2,sonu
542529,3,sood
542529,4,try
542529,5,incredible
542528,1,child
542528,2,orphaned
542528,3,covid
542528,4,contact
542528,5,parent
542523,1,lockdown
542523,2,farmer
542523,3,produce
542523,4,mahto
542523,5,acre
542522,1,temple
542522,2,corona
542522,3,mata
542522,4,villager
542522,5,deadly
542521,1,packard
542521,2,whale
542521,3,swallowed
542521,4,lobster
542521,5,diver
542520,1,bollywood
542520,2,song
542520,3,krkkutta
542520,4,khan
542520,5,ki
542519,1,vaccination
542519,2,circle
542519,3,vaccine
542519,4,panchayat
542519,5,district
542518,1,doctor
542518,2,lost
542518,3,covid
542518,4,wave
542518,5,life
542510,1,dua
542510,2,chinna
542510,3,covid
542510,4,dr
542510,5,padmavati
542508,1,boy
542508,2,dolphin
542508,3,hand
542508,4,water
542508,5,food
542506,1,court
542506,2,dominica
542506,3,choksi
542506,4,company
542506,5,high
542505,1,district
542505,2,hospital
542505,3,incident
542505,4,fire
542505,5,sagar
542504,1,death
542504,2,health
542504,3,total
542504,4,covid
542504,5,state
542503,1,eyelash
542503,2,record
542503,3,world
542503,4,guinness
542503,5,longer
542501,1,nikhil
542501,2,nusrat
542501,3,husband
542501,4,post
542501,5,nusrats
542500,1,djokovic
542500,2,nadal
542500,3,match
542500,4,set
542500,5,final
542499,1,child
542499,2,covid
542499,3,orphan
542499,4,lost
542499,5,bccl
542497,1,chellam
542497,2,show
542497,3,character
542497,4,sir
542497,5,surprised
542496,1,tesla
542496,2,model
542496,3,range
542496,4,indian
542496,5,long
542495,1,wedding
542495,2,bride
542495,3,groom
542495,4,video
542495,5,sister
542494,1,covid
542494,2,number
542494,3,child
542494,4,state
542494,5,officer
542491,1,game
542491,2,development
542491,3,seema
542491,4,woman
542491,5,break
542489,1,day
542489,2,dad
542489,3,father
542489,4,rajma
542489,5,chawal
542487,1,tree
542487,2,mumbai
542487,3,save
542487,4,kangana
542487,5,clean
542486,1,covid
542486,2,read
542486,3,year
542486,4,death
542486,5,mumbai
542485,1,tall
542485,2,wish
542485,3,video
542485,4,look
542485,5,see
542483,1,vaccine
542483,2,body
542483,3,vaccinated
542483,4,magnet
542483,5,metal
542482,1,pakistan
542482,2,court
542482,3,national
542482,4,jadhav
542482,5,bill
542481,1,show
542481,2,reality
542481,3,tera
542481,4,actress
542481,5,making
542480,1,movie
542480,2,show
542480,3,character
542480,4,film
542480,5,played
542477,1,vikas
542477,2,gupta
542477,3,parth
542477,4,samthaan
542477,5,dated
542476,1,google
542476,2,gun
542476,3,map
542476,4,kennedy
542476,5,news
542475,1,family
542475,2,actor
542475,3,film
542475,4,appreciation
542475,5,hard
542473,1,bharat
542473,2,biotech
542473,3,vaccine
542473,4,covaxin
542473,5,eua
542472,1,tera
542472,2,aap
542472,3,ki
542472,4,himesh
542472,5,reshammiya
542470,1,raj
542470,2,french
542470,3,visa
542470,4,nriaffairs
542470,5,france
542469,1,accused
542469,2,girl
542469,3,minor
542469,4,video
542469,5,police
542467,1,plastic
542467,2,silk
542467,3,protein
542467,4,spider
542467,5,barbie
542465,1,city
542465,2,soma
542465,3,japan
542465,4,local
542465,5,shot
542464,1,sushant
542464,2,dance
542464,3,remo
542464,4,dancer
542464,5,bollywood
542463,1,building
542463,2,mumbai
542463,3,incident
542463,4,collapse
542463,5,house
542460,1,audi
542460,2,virat
542460,3,kohli
542460,4,brand
542460,5,association
542459,1,mine
542459,2,coal
542459,3,inside
542459,4,operation
542459,5,district
542457,1,cheetah
542457,2,condition
542457,3,officer
542457,4,hospital
542457,5,doctor
542456,1,dog
542456,2,ambulance
542456,3,owner
542456,4,woman
542456,5,anadolu
542455,1,relationship
542455,2,woman
542455,3,divorce
542455,4,ryan
542455,5,toxic
542453,1,taapsee
542453,2,trailer
542453,3,film
542453,4,youtube
542453,5,girl
542452,1,vaccination
542452,2,infection
542452,3,report
542452,4,natural
542452,5,covid
542449,1,dad
542449,2,job
542449,3,desi
542449,4,parent
542449,5,father
542446,1,child
542446,2,mask
542446,3,wave
542446,4,wear
542446,5,covid
542445,1,employee
542445,2,percent
542445,3,home
542445,4,indian
542445,5,office
542441,1,actress
542441,2,vidya
542441,3,balan
542441,4,stereotype
542441,5,come
542437,1,film
542437,2,audience
542437,3,pant
542437,4,festival
542437,5,siff
542436,1,atm
542436,2,bank
542436,3,transaction
542436,4,customer
542436,5,fee
542435,1,hotel
542435,2,g
542435,3,england
542435,4,staff
542435,5,million
542435,1,hotel
542435,2,g
542435,3,england
542435,4,staff
542435,5,million
542433,1,picture
542433,2,bindi
542433,3,bad
542433,4,internet
542433,5,forehead
542432,1,covid
542432,2,death
542432,3,number
542432,4,toll
542432,5,june
542429,1,show
542429,2,reality
542429,3,judge
542429,4,soon
542429,5,singer
542428,1,data
542428,2,cowin
542428,3,fake
542428,4,million
542428,5,leak
542427,1,video
542427,2,fitness
542427,3,lady
542427,4,goal
542427,5,lifting
542426,1,captain
542426,2,squad
542426,3,yadav
542426,4,pandya
542426,5,wicket
542424,1,plant
542424,2,oxygen
542424,3,sonu
542424,4,sood
542424,5,life
542423,1,leptospirosis
542423,2,mumbai
542423,3,year
542423,4,monsoon
542423,5,rain
542422,1,card
542422,2,name
542422,3,communism
542422,4,wedding
542422,5,groom
542421,1,covid
542421,2,health
542421,3,death
542421,4,report
542421,5,infection
542418,1,pandemic
542418,2,host
542418,3,world
542418,4,event
542418,5,covid
542417,1,fruit
542417,2,chocolate
542417,3,indian
542417,4,natural
542417,5,flavoured
542416,1,dad
542416,2,gift
542416,3,father
542416,4,love
542416,5,kit
542415,1,role
542415,2,chellam
542415,3,mahesh
542415,4,chellamsir
542415,5,sir
542412,1,arctic
542412,2,siberia
542412,3,rotifer
542412,4,read
542412,5,multicellular
542411,1,record
542411,2,push
542411,3,ups
542411,4,world
542411,5,day
542408,1,lost
542408,2,arunachal
542408,3,mother
542408,4,say
542408,5,father
542407,1,love
542407,2,show
542407,3,another
542407,4,kunal
542407,5,played
542406,1,produce
542406,2,priest
542406,3,aadhaar
542406,4,government
542406,5,sell
542405,1,covid
542405,2,brain
542405,3,neurologist
542405,4,today
542405,5,small
542403,1,apps
542403,2,bank
542403,3,money
542403,4,power
542403,5,based
542401,1,read
542401,2,river
542401,3,cowin
542401,4,use
542401,5,mumbai
542399,1,walking
542399,2,pace
542399,3,google
542399,4,walk
542399,5,faster
542398,1,video
542398,2,delhi
542398,3,rapper
542398,4,police
542398,5,old
542397,1,halibut
542397,2,fish
542397,3,size
542397,4,campbell
542397,5,market
542392,1,delivery
542392,2,bishnupriya
542392,3,family
542392,4,food
542392,5,lockdown
542387,1,loki
542387,2,scene
542387,3,episode
542387,4,watching
542387,5,spoiler
542383,1,employee
542383,2,facebook
542383,3,remotely
542383,4,office
542383,5,year
542381,1,indian
542381,2,american
542381,3,report
542381,4,discrimination
542381,5,born
542378,1,car
542378,2,doolan
542378,3,mayo
542378,4,mayonnaise
542378,5,blocking
542377,1,cent
542377,2,wastage
542377,3,lakh
542377,4,vaccine
542377,5,reported
542376,1,child
542376,2,labour
542376,3,million
542376,4,number
542376,5,labourer
542375,1,phone
542375,2,woman
542375,3,mobile
542375,4,girl
542375,5,commission
542373,1,doctor
542373,2,pregnant
542373,3,shivani
542373,4,lakhanpur
542373,5,covid
542372,1,game
542372,2,physical
542372,3,education
542372,4,child
542372,5,traditional
542371,1,testing
542371,2,worker
542371,3,covid
542371,4,village
542371,5,rural
542369,1,bungalow
542369,2,retreat
542369,3,bengal
542369,4,area
542369,5,fraser
542368,1,always
542368,2,irani
542368,3,mother
542368,4,star
542368,5,sharp
542366,1,outage
542366,2,network
542366,3,website
542366,4,fastly
542366,5,internet
542365,1,day
542365,2,mensxp
542365,3,dad
542365,4,love
542365,5,father
542363,1,video
542363,2,oudah
542363,3,sign
542363,4,language
542363,5,everyone
542360,1,family
542360,2,sajitha
542360,3,rahman
542360,4,parent
542360,5,home
542359,1,match
542359,2,olimpia
542359,3,player
542359,4,pitch
542359,5,football
542357,1,child
542357,2,guideline
542357,3,covid
542357,4,mask
542357,5,use
542355,1,plea
542355,2,singh
542355,3,rajput
542355,4,movie
542355,5,project
542354,1,shivanand
542354,2,vaccine
542354,3,centre
542354,4,dose
542354,5,staff
542353,1,sq
542353,2,km
542353,3,area
542353,4,report
542353,5,baghjan
542352,1,death
542352,2,covid
542352,3,state
542352,4,fatality
542352,5,bihar
542350,1,jio
542350,2,vaccine
542350,3,vaccination
542350,4,chatbot
542350,5,number
542349,1,shark
542349,2,fish
542349,3,watson
542349,4,three
542349,5,away
542348,1,manu
542348,2,school
542348,3,university
542348,4,class
542348,5,stanford
542347,1,wage
542347,2,tiger
542347,3,worker
542347,4,reserve
542347,5,strike
542346,1,cowin
542346,2,vaccination
542346,3,status
542346,4,certificate
542346,5,aarogya
542344,1,poem
542344,2,editorial
542344,3,anti
542344,4,gujarati
542344,5,ganga
542343,1,building
542343,2,incident
542343,3,person
542343,4,mumbai
542343,5,injured
542342,1,ronaldo
542342,2,game
542342,3,june
542342,4,portugal
542342,5,scored
542341,1,guangzhou
542341,2,city
542341,3,area
542341,4,coronavirus
542341,5,authority
542340,1,june
542340,2,delhi
542340,3,pradesh
542340,4,monsoon
542340,5,rain
542339,1,asian
542339,2,game
542339,3,gold
542339,4,dingko
542339,5,singh
542338,1,modi
542338,2,pm
542338,3,beard
542338,4,must
542338,5,prime
542337,1,ramdev
542337,2,covid
542337,3,yoga
542337,4,ayurveda
542337,5,vaccinated
542336,1,oxygen
542336,2,plant
542336,3,hospital
542336,4,sonu
542336,5,problem
542332,1,arrested
542332,2,allegedly
542332,3,husband
542332,4,penis
542332,5,according
542331,1,vaccination
542331,2,covid
542331,3,cowin
542331,4,wednesday
542331,5,lakh
542329,1,g
542329,2,juhi
542329,3,chawla
542329,4,petition
542329,5,safe
542326,1,woman
542326,2,accused
542326,3,profile
542326,4,social
542326,5,rejected
542324,1,g
542324,2,technology
542324,3,asking
542324,4,juhi
542324,5,chawla
542323,1,sticker
542323,2,instagram
542323,3,shiva
542323,4,complaint
542323,5,social
542322,1,list
542322,2,th
542322,3,ambani
542322,4,adani
542322,5,richest
542319,1,woman
542319,2,officer
542319,3,army
542319,4,aviation
542319,5,helicopter
542317,1,eclipse
542317,2,part
542317,3,solar
542317,4,moon
542317,5,north
542316,1,actor
542316,2,kangana
542316,3,ranaut
542316,4,film
542316,5,nusrat
542314,1,vaccinated
542314,2,vaccine
542314,3,covid
542314,4,madhya
542314,5,video
542313,1,feed
542313,2,monkey
542313,3,life
542313,4,constable
542313,5,initiative
542312,1,vaccine
542312,2,injection
542312,3,partner
542312,4,video
542312,5,taking
542311,1,nusrat
542311,2,jahan
542311,3,nikhil
542311,4,jain
542311,5,statement
542310,1,facebook
542310,2,suvo
542310,3,live
542310,4,session
542310,5,fan
542308,1,read
542308,2,day
542308,3,covid
542308,4,groom
542308,5,bride
542306,1,family
542306,2,well
542306,3,amazon
542306,4,prime
542306,5,bajpayee
542305,1,bosnian
542305,2,crime
542305,3,judgment
542305,4,former
542305,5,court
542304,1,app
542304,2,depression
542304,3,espy
542304,4,wilson
542304,5,professor
542302,1,skunk
542302,2,police
542302,3,officer
542302,4,animal
542302,5,constable
542300,1,police
542300,2,drug
542300,3,medicine
542300,4,counterfeit
542300,5,meerut
542299,1,kangana
542299,2,ranaut
542299,3,tax
542299,4,release
542299,5,film
542297,1,together
542297,2,vicky
542297,3,kaushal
542297,4,katrina
542297,5,kaifs
542296,1,birth
542296,2,record
542296,3,sithole
542296,4,baby
542296,5,gave
542295,1,cryptocurrency
542295,2,deal
542295,3,buyer
542295,4,transaction
542295,5,million
542294,1,farmer
542294,2,animal
542294,3,kumar
542294,4,sensor
542294,5,field
542290,1,internet
542290,2,indian
542290,3,world
542290,4,prince
542290,5,government
542287,1,eachrs
542287,2,bbp
542287,3,animal
542287,4,zoo
542287,5,lockdown
542286,1,science
542286,2,foam
542286,3,gas
542286,4,polyurethane
542286,5,award
542285,1,priyanka
542285,2,chopra
542285,3,g
542285,4,country
542285,5,jonas
542283,1,food
542283,2,combination
542283,3,trend
542283,4,chip
542283,5,curry
542282,1,bride
542282,2,groom
542282,3,refused
542282,4,called
542282,5,district
542281,1,sushant
542281,2,rajput
542281,3,death
542281,4,acquaintance
542281,5,unique
542278,1,coronil
542278,2,patanjali
542278,3,health
542278,4,nepal
542278,5,medicine
542277,1,tax
542277,2,income
542277,3,paid
542277,4,richest
542277,5,report
542276,1,air
542276,2,force
542276,3,covid
542276,4,indian
542276,5,station
542275,1,co
542275,2,million
542275,3,emission
542275,4,year
542275,5,atmosphere
542274,1,population
542274,2,state
542274,3,pradesh
542274,4,cent
542274,5,day
542273,1,film
542273,2,festival
542273,3,actor
542273,4,tillotama
542273,5,shome
542271,1,elephant
542271,2,covid
542271,3,sample
542271,4,camp
542271,5,positive
542270,1,mask
542270,2,without
542270,3,mumbai
542270,4,spotted
542270,5,police
542269,1,cicada
542269,2,car
542269,3,driver
542269,4,crash
542269,5,police
542267,1,mumbai
542267,2,monsoon
542267,3,imd
542267,4,heavy
542267,5,suburb
542265,1,state
542265,2,death
542265,3,maharashtra
542265,4,covid
542265,5,monday
542264,1,tweet
542264,2,ago
542264,3,anderson
542264,4,ollie
542264,5,robinson
542261,1,whatsapp
542261,2,feature
542261,3,message
542261,4,playback
542261,5,speed
542260,1,loki
542260,2,tom
542260,3,hiddleston
542260,4,wilson
542260,5,show
542259,1,ioa
542259,2,apparel
542259,3,athlete
542259,4,sport
542259,5,respecting
542257,1,highway
542257,2,woman
542257,3,blocked
542257,4,landslide
542257,5,gangotri
542256,1,want
542256,2,court
542256,3,sushil
542256,4,arrested
542256,5,delhi
542255,1,vaccine
542255,2,state
542255,3,centre
542255,4,covid
542255,5,private
542252,1,state
542252,2,washington
542252,3,vaccine
542252,4,jab
542252,5,free
542250,1,police
542250,2,face
542250,3,mask
542250,4,distancing
542250,5,delhi
542249,1,sapling
542249,2,pandemic
542249,3,environment
542249,4,nishanth
542249,5,covid
542248,1,builder
542248,2,house
542248,3,dispute
542248,4,home
542248,5,holiday
542244,1,role
542244,2,film
542244,3,samantha
542244,4,performance
542244,5,akkineni
542243,1,season
542243,2,heist
542243,3,show
542243,4,character
542243,5,money
542242,1,without
542242,2,real
542242,3,best
542242,4,solve
542242,5,together
542242,1,without
542242,2,real
542242,3,best
542242,4,solve
542242,5,together
542241,1,police
542241,2,operation
542241,3,drug
542241,4,australian
542241,5,federal
542240,1,covid
542240,2,tuesday
542240,3,death
542240,4,toll
542240,5,health
542234,1,pete
542234,2,pub
542234,3,tim
542234,4,stranger
542234,5,happened
542233,1,state
542233,2,goa
542233,3,tourism
542233,4,covid
542233,5,industry
542231,1,khan
542231,2,hai
542231,3,ka
542231,4,salman
542231,5,critic
542230,1,read
542230,2,covid
542230,3,government
542230,4,land
542230,5,forest
542229,1,elephant
542229,2,herd
542229,3,long
542229,4,kunming
542229,5,wild
542228,1,ka
542228,2,bollywood
542228,3,tweet
542228,4,acting
542228,5,nahi
542226,1,ray
542226,2,kay
542226,3,story
542226,4,manoj
542226,5,bajpayee
542224,1,apple
542224,2,million
542224,3,lawsuit
542224,4,photo
542224,5,posted
542221,1,vaccine
542221,2,different
542221,3,student
542221,4,covid
542221,5,covaxin
542220,1,evelyn
542220,2,tushaan
542220,3,friend
542220,4,pandemic
542220,5,wedding
542219,1,maratha
542219,2,reservation
542219,3,minister
542219,4,cent
542219,5,thackeray
542217,1,khalsa
