content_id,summary
542743,"The employee, Abdul Hannan, 54, worked in the paper machine department and was suffering from diabetes and high blood pressure for the past several months, his family said on Monday.Union officials estimate that over four lakh people are directly or indirectly impacted by the closure of the mills which at one time were touted as Asia's largest.However, the National Company Law Tribunal (NCLT), after several rounds of meetings with all stakeholders ordered the liquidator on April 26 to sell the entire HPC in accordance with a decision of the National Company Law Appellate Tribunal (NCLAT)."
542741,"A Nile crocodile called 'Osama Bin Laden' terrorised adults and children for years in a small Ugandan village, as per TNN.The animal was captured in 2005 with the efforts of wildlife officials and 50 men from a local area.Although most of the villagers wanted the animal to be put down, authorities kept him safe and eventually transferred him to the owners of Ugandan Crocs for their breeding programme."
542740,"In today's edition of 'heartwarming videos on the internet', a clip of a dad and daughter dancing on her wedding day is definitely going to melt your heart.""The video shows Tenaya sitting on her dad's lap as he covers the whole dance floor on his wheelchair with a huge smile on his face.People took to the comments section to express how full their heart was after watching the beautiful video."
542739,"Purchased country's most expensive number plateEighteen years ago, Rahul Taneja born in Katla, Madhya Pradesh, worked in a restaurant for Rs 150.With big dreams in small eyes, a puncture repairer’s son Rahul left home at an early age and moved from Madhya Pradesh to Jaipur in Rajasthan.In an interview, Rahul had mentioned that he worked at the Dhaba for two years, after which he did other jobs such as selling firecrackers during Diwali, colours during Holi, kites during Makar Sankranti and Rakhis during Rakshabandhan."
542738,"In a sheer act of bravery, a 10-year-old boy lost his life after saving one of his younger siblings who had fallen into a river in US' South Dakota.According to a report in the New York Post, the body of Ricky Lee Sneve was found on Saturday night by the Lincoln County Sheriff’s Department.As per the child’s mother, Nicole Eufers, Ricky was out with his father, Chad Sneve, and siblings when several of them fell into water near Hudson, in southeastern South Dakota."
542737,"Today her story is an inspiration to every girl including her daughter Masaba Gupta who is extremely proud of her mom.During the virtual launch of her book, the Badhaai Ho actress reveals that her ex who she was supposed to marry had called off their wedding last minute and she was left with no choice but move on.He told the actress, “Don’t worry, if the child is born with dark skin, you can just say it’s mine and we’ll get married."
542736,"1 trillion to developing nations as a part of climate change mitigation under the Paris Agreement, and this was discussed at the G7 Summit, which concluded on Sunday, Javadekar said at the virtual 'Environment Conclave: Revival, Regeneration and Conservation of Nature'.The study predicts more extremely wet years in the future - with potentially grave consequences for more than one billion people's well-being, economy, food systems and agriculture.""We have found robust evidence for an exponential dependence: For every degree Celsius of warming, monsoon rainfalls will likely increase by about 5%,"" said lead author Anja Katzenberger from the Potsdam-Institute for Climate Impact Research (PIK) and Ludwig-Maximilian University in Munich, Germany (LMU)."
542735,"Evolutionary biologist Adrienne Jochum of the Senckenberg Research Institute and Natural History Museum Frankfurt explained, “The snails were apparently encased in the tree resin immediately after birth and preserved in that position over millions of years.”High-resolution photographs and CT scans helped the team to find that the mother was a newly discovered species of cyclopoid that they named Cretatortulosa gignens -- the latin for ‘giving birth’.Also Read: Indian Scientists Find A Rare, 157 Million Year Old Dinosaur Fossil In Gujarat's Kutch DesertAccording to the researchers, the creature may have evolved to birth the child alive to protect it as long as possible in the tropical forests of the Cretaceous."
542734,"Everyone needs some level of physical intimacy to feel loved and accepted, and it doesn't have to be necessarily sexual - sometimes people just want a simple hug.Even though the job is strictly non-sexual, platonic and clients are fully clothed at all times, that doesn't stop people from making bizarre requests.Keeley Shoup who charges $100 (Rs 7,300) per hour, says she gets all sorts of strange requests during her work time but loves performing them."
542733,"Be it due to deforestation or shortage of food, instances of elephants wandering off and reaching another place entirely has happened quite a few times.Another such instance took place where a wild sub-adult elephant strayed into Putimari village of Jalpaiguri district in West Bengal.A similar instance happened recently in China where a herd of elephants took a 500 km trek, destroyed the forests and then took a nap afterwards just to cool off."
542731,"Much like all of us, Google and Alphabet CEO Sundar Pichai is also excited about the UEFA European Championship football tournament.The Euro 2020 championship commenced on June 11, after a year of delay caused due to the pandemic, and is scheduled to go until July 11, 2021.ALSO READ: Sundar Pichai Congratulates Team India For Victory In Australia Test SeriesEuro 2020 has two matches today -- Hungary vs. Portugal and France vs. Germany."
542730,"A man masquerading as a Muslim to marry a girl was caught and handed over to the police when he failed to pronounce Urdu words correctly during the marriage.Couple were in a relationshipThe incident took place in Kolhui police station area in Uttar Pradesh's Maharajganj district on Monday.When the groom fumbled over Urdu words, the girl's family checked his PAN card and his true identity was revealed."
542729,"A few weeks ago, we got the shocking news that veteran actress and politician Kirron Kher has been diagnosed with multiple myeloma, a type of blood cancer.Battling cancer and seeking treatment, there were no massive celebrations but she was showered with a whole lot of love and prayers for a speedy recovery by her friends, colleagues, and fans.In a sweet video recorded and posted by Anupam Kher, Kirron said, ""I want to say a big thank you."
542728,"Evelyn ‘Iggy’ Rose, a friend, a model and possible love interest of Pink Floyd co-founder Syd Barrett graced the scene of his debut album in the 1960s.It all, though, falls into place with this revelation - her mother Chawngpuii (her English name was Angela) had married British Army officer Harry Charlton Joyce who was serving in India and had then left for Yemen, followed by England.She was also attending counterculture concerts like the ‘14 Hour Technicolour Dream’, headlined by Pink Floyd, says the first extensive profile of the socialite by British music journalist Mark Blake in 2011, before she started living with Syd Barrett."
542727,"The high court directed Pinjra Tod group activists Narwal and Kalita and Tanha to surrender their passports and not to offer any inducement to prosecution witnesses or tamper with the evidence in the case.A bench comprising of Justices Siddharth Mridul and Anup J. Bhambhani held that prima facie, no offence under sections 15, 17 or 18 of the UAPA is made-out on the basis of the material on record in the present case against the three.While granting bail to Tanha, the court said: ""Foisting extremely grave and serious penal provisions engrafted in sections 15, 17 and 18 of the UAPA frivolously upon people, would undermine the intent and purpose of the Parliament in enacting a law that is meant to address threats to the very existence of our Nation."
542725,"Sharma has done several great films like Gangaajal, Ab Tak Chhappan, Apaharan, Lakshyam, Singh Is Kinng, Aarakshan and Rowdy Rathore.Since then, he has showcased his acting prowess in films like Aaja Nachle, Dilli 6, Peepli Live, Gandhi To Hitler, Newton, Love per Square Foot, Sui Dhaaga, Romeo Akbar Walter, Ghoomketu, Pagglait and Sandeep Aur Pinky Faraar.His other credits include Bunty Aur Babli, Nanhe Jaisalmer, Jodhaa Akbar, What's Your Raashee?, Do Dooni Chaar, Agneepath and Son of Sardar among other."
542725,"Sharma has done several great films like Gangaajal, Ab Tak Chhappan, Apaharan, Lakshyam, Singh Is Kinng, Aarakshan and Rowdy Rathore.Since then, he has showcased his acting prowess in films like Aaja Nachle, Dilli 6, Peepli Live, Gandhi To Hitler, Newton, Love per Square Foot, Sui Dhaaga, Romeo Akbar Walter, Ghoomketu, Pagglait and Sandeep Aur Pinky Faraar.His other credits include Bunty Aur Babli, Nanhe Jaisalmer, Jodhaa Akbar, What's Your Raashee?, Do Dooni Chaar, Agneepath and Son of Sardar among other."
542723,"The film that released exactly 20 years ago has left so many emotions behind that it will be remembered till eternity.Lagaan was set in 1893 during the late Victorian period of India’s colonial British Raj.The story revolved around the small village in Central India, whose inhabitants, burdened by high taxes accept a challenge to play a cricket match against a team of British officers."
542722,"In a move that is a potential hazard to protected wildlife in Uttarakhand, the state government has given a nod to construct a 4.BCCL/ Representational ImageIt was earlier stalled due to clearance issues and exemptions, as demanded by the state.“The grasslands from the Himalayan foothills, the Terai delta, that extend from Corbett to Palamu in Jharkhand and beyond to Assam are the productive habitat for tigers and large ungulates in all of Asia."
542721,"Achieving certain feats can sometimes make people push beyond their limits - the former world's strongest man faced an obstacle when he tried to leg press a little too much weight.The heavyweight champion, Eddie Hall, is a British strongman and the winner of the 2017 World's Strongest Man competition.In the clip, it shows that Eddie has set a goal for himself and wants to go for 1,000 kg - the heaviest leg press attempt of his life."
542720,"Just days after a preliminary probe by the Uttarakhand health department suggested that many of the four lakh Covid test results issued during the Kumbh festival in Haridwar were fake, a detailed investigation — running into 1,600 pages and accessed by TOI — has found that at least 1 lakh test reports were forged by a private agency.”Arjun Singh Sengar, Kumbh Mela health officer, told TOI, “The agency was supposed to submit the samples to two private labs.“One sample collector was someone enrolled in a skill development training programme at a government authorised centre in Hanumangarh (Rajasthan)."
542718,"The King of Bhutan Jigme Khesar Namgyel Wangchuck has also been personally making sure that all the precautions are followed properly.In a now viral tweet, it was disclosed that to ensure people's safety the king himself trekked for 5 days in Bhutan's eastern border areas to check illegal crossings that could increase the spread of COVID-19.He along with the details shared a few pictures of the king who is taking his 14th or 15th trip to the borders since the beginning of the pandemic."
542717,"3 more related deathsThe AEFI committee headed by Dr NK Arora also found that between February and March, 28 people died after getting a dose during this period but most appeared not to have been linked, while the cause could not be determined in at least 9 of them.As per the government data, there have been 26,000 cases of adverse events following COVID vaccination and 488 deaths linked to post-vaccine complications between January 16 and June 7.Last month the National AEFI Committee had said that incidents of bleeding or clotting following Covid-19 vaccination in India are minuscule and in line with the expected number of diagnoses of these conditions in the country."
542713,"Indiatimes will hold a webinar in collaboration with 'Headspace' on June 23, 2021, on mental health and effects a pandemic can have on our doctors, nurses, hospital staff and medical workers.We will also speak to Dr Anant Bhan, Adjunct Visiting Professor in the Centre for Ethics, Yenepoya University, Mangaluru on how sometimes doctors do not have the time to reflect on the loss of patient's family.The experts' panel will also be joined Dr Pratima Murthy from NIMHANS and Ms Sarah Romotsky, RD, Director, Healthcare Partnership Solutions, Headspace."
542711,"Filmmaker Anil Sharma's blockbuster hit Gadar starring actors, Sunny Deol and Ameesha Patel in lead roles has completed glorious 20 years today.He also directed a film titled Purpose and wrote another one called Still Life, before making his debut as an adult in Genius, which released in 2018.The cast also included actors like Mithun Chakraborthy, Nawazuddin Siddiqui, Ayesha Jhulka, KK Raina, Zakir Hussain, Abhimanyu Singh, and more."
542709,"On June 18, India and New Zealand face off in the World Test Championship final.The two are also the best batsmen on their respective sides and in the world at the moment across formats.So now with honours shared on the big stage, it is time for a decider."
542708,"Technical and Sanskrit Education Minister of Independent Charge, Dr Subhash Garg informed that a committee formed to look into the matter has submitted its report.The state will teach students how Vedic education is linked to Science and Yoga,"" said Garg.In November, 2020, the Banaras Hindu University (BHU) introduced a garbh sanskar therapy for pregnant women to inculcate good values in the unborn child while it is in its mother’s womb."
542707,"And now, I stumbled across an image on Instagram where a photographer has managed to capture a meteor shot straight down an active volcano in Indonesia.Instagram: Gunarto SongAlso Read: Ship Captures Rare Video Of Meteor Entering Earth's Atmosphere And Exploding Over SeaThe image was captured by Gunarto Song (who has quite a few cool images in his Instagram portfolio) at a site called Batu Alien.The image shows a straight green light entering right at the top of the volcano, amidst thick grey-black clouds, making most of us think what the explosion would have looked like."
542704,"For a movie nearly 4 hours long, almost 90 minutes of cricket is played and that is roughly half a T20 match.So where did the filmmakers got wrong?Now while as many as fifteen mistakes can be found, let's just focus on the more prominent ones.Now the list can go on and on, but one can understand why a more modern version had to be shown for entertainment purposes."
542703,"Earlier this year, the National Green Tribunal (NGT) had in January accepted recommendations of a two-member expert panel which had suggested directing the Delhi government to issue orders ""prohibiting sale, storage and transportation and marketing of detergents which do not conform to the revised BIS standards"".According to the plan, Haryana and Uttar Pradesh have been asked to upgrade their sewage treatment plants (STPs) to standards prescribed by the DPCC for treating the wastewater entering the Yamuna through Najafgarh drain and Hindon cut canal.In July 2019, a two-member panel appointed by the NGT to monitor pollution in the river recommended that farmers may be allowed to grow crops and vegetables but with regular and constant watch on metal content and pesticides levels in the harvested produce."
542702,"A 62-year-old woman allegedly died after being stabbed 20 times by a man who also sexually assaulted her in Delhi, according to a report by news agency PTI.During investigation, police analysed the CCTV footage of the area from where the woman was recovered and the identity of the accused was established following which he was arrested, the official said.The woman's son said when he came home after completing his duty hours as a security guard in Noida and entered the house, he saw his mother lying in a pool of blood."
542699,"In a bizarre incident, all 19 workers at a fast-food restaurant in Pakistan were arrested by police because they refused free burgers to some officers a week back, as per BBC.Police officers threatened managers""Upon rejecting their request for free burgers, which has become a common practice for them, the police officers threatened our managers and left, only to return the next day to further harass and pressurise our teams with baseless arguments,"" the statement also said.All of them will be punished,"" tweeted Senior provincial police official Inam Ghani."
542698,"As per reports, Kangana had applied for the renewal of her passport on Monday and her plea got rejected due to FIR against her in Munawar Ali case.As per reports in TOI, the Regional Passport Office raised objections to her renewal and seeks an order from the court when she disclosed the FIR against her by Munawar Ali over alleged inflammatory social media posts.The actress' lawyer Rizwan Siddiquee mentioned to TOI that she has to travel for work to Budapest and so she is seeking the renewal on urgent basis."
542695,"Noting that the travel histories for the variant are not readily available to make assumptions, Mr Scaria said an important point to consider regarding K417N is the ‘evidence suggesting resistance to monoclonal antibodies Casirivimab and Imdevimab’.Allaying fears, immunologist Vineeta Bal noted that while there may be some setback in the use of commercial antibody cocktail due to the new variant, resistance to the therapy is not an indication of higher virulence or severity of a disease.""How transmissible this new variant is will be a crucial factor to determine its rapid spread or otherwise,"" Bal, guest faculty at the Indian Institute of Science Education and Research, Pune, told PTI."
542694,"There is literally no one who loves their human coming back home from work more than a pet dog.A Twitter user by the name of Danny Deraney posted a video where a pet dog is blocking the way of a toddler when he's trying to climb the stairs.So, the pet dog stopped this toddler every time he made an attempt to climb the stairs."
542692,"Earlier in March, SII CEO Adar Poonawalla had said that clinical trials of the vaccine 'Covovax' have begun in India and the company hopes to launch it by September this year.""Today, Novavax is one step closer to addressing the critical and persistent global public health need for additional COVID-19 vaccines.""These clinical results reinforce that NVX-CoV2373 is extremely effective and offers complete protection against both moderate and severe COVID-19 infection,"" Novavax President and Chief Executive Officer Stanley C Erck said."
542691,"Following the Himachal Pradesh government's announcement that COVID-19 RT-PCR negative tests are no longer required to enter the state, tourists were seen flocking to Shimla on the weekend.We anticipated the increase in the tourist movement during the weekend, but what is heartening to note is that people are following COVID protocols,"" he said.Now intrastate public transport is allowed to operate with 50 per cent occupancy and shop timings have been increased from 9 am to 5 pm."
542690,"Reports said Nimatpur’s Ramnarayan Panda’s youngest son Kamalesh worked in the safety department of East Coast Railway in Bhubaneswar.Smita, his wife, was a staff nurse at the Acharya Harihara Cancer hospital in Cuttack.Kamalesh returned to the village with the kids and then gave them to his elder brother Debasis and sister-in-law so that they can bring them up."
542689,"After Baba ka Dhaba owner Kanta Prasad publicly apologised to YouTuber Gaurav Wasan through a video, the latter decided to pay a visit to the elderly man and his wife's roadside stall in South Delhi's Malviya Nagar.However, to everyone's shock, Prasad had filed a cheating complaint against Wasan after the food blogger had managed to raise funds for the couple.After being a sensation online, Prasad invested Rs 5 lakh to open a new restaurant; he also hired three workers."
542687,"The MK Stalin-led state government announced that TASMAC wine shops will be allowed to open in the 27 districts from 10 am to 5 pm.”After a gap of 35 days, salons, parks, and state-run liquor outlets in 27 districts in Tamil Nadu reopened on Monday as the state government had announced further relaxations on Friday (June 11).Tasmac shops are not permitted to open in 11 districts -- Coimbatore, the Nilgiris, Tirupur, Erode, Salem, Karur, Namakkal, Thanjavur, Thiruvarur, Nagapattinam and Mayiladuthurai -- where the number of Covid cases is high."
542686,"org, and it has already been signed by more than 5,000 people and is titled “We want Jeff Bezos to buy and eat the Mona Lisa.”“Nobody has eaten the Mona Lisa and we feel Jeff Bezos needs to take a stand and make this happen,” the petition says.The multibillionaire recently announced that he will be one of the first civilians to fly to space in a rocket launched by his company Blue Origin."
542685,"India has recorded the lowest rise in COVID-19 cases in a day since April with around 60,000 new infections in the past 24 hours.Though there is no indication yet of the severity of the disease due to the new variant, Delta plus is resistant to the monoclonal antibody cocktail treatment for COVID-19 recently authorised in India.87 CroreThe cumulative number of COVID-19 vaccine doses administered in the country has reached 25,87,13,321 as per the 7 pm provisional report on Monday, said the Union Health Ministry."
542678,"Originally the text was displayed in a bright green, however with the update, they were changed to a darker blue that wasn't clearly visible, especially when the device was in dark mode.However, according to WABetaInfo’s most recent report, this awful change has been reverted back to the classic green that WhatsApp users love and adore so much.Moreover, since the beta version itself saw the reversal of this change, chances are this is definitely not coming in the final stable build."
542677,"On Monday morning, shares of Adani Group companies witnessed a massive drop.This happened amid reports that the National Securities Depository Ltd (NSDL) has frozen certain FPIs accounts with holdings in some of these firms.A foreign portfolio investment (FPI) is a grouping of assets such as stocks, bonds, and cash equivalents."
542676,"Kaala Chashma, Manali Trance, Aaj Blue Hai Paani and Second Hand Jawani are popular hits even todayThese songs are not just foot tapping but also melodious.Recalling how many thought the music in Manali Trance is violin, Neha Kakkar cleared the air and said it is her making that sound.Neha got got married to reality show contestant Rohanpreet SinghBefore marrying the singing sensation, Rohanpreet Singh appeared as a contestant on the reality show 'Mujhse Shaadi Karoge' featuring Shehnaaz Gill and Paras Chhabra."
542674,"On His First Death Anniversary, Bollywood Stars Hope Sushant Singh Rajput Has Found His PeaceA year ago on this day, there was a lockdown imposed in most parts of the nation.It is condemnable and insulting to not address such a great warrior and a brave son of India by his full name,"" said Shantanu Chauhan, youth wing head of the organization.Rhea Chakraborty Pens Heartbreaking Post On Sushant Singh Rajput's First Death AnniversaryRemembering her ‘bebu’ the actress wrote, “There isn’t a moment where I believe that you aren’t here anymore."
542672,"The reason why Siddhant Chaturvedi's parents allowed him to pursue acting was Sushant Singh Rajput.For him, Sushant Singh Rajput, an icon for many aspiring actors, remains to be a big reason for why he was able to accomplish his dreams.On his death anniversary today, he penned down a heartfelt letter to Sushant Singh Rajput."
542671,"Instagram user Chabi Gupta bought the accessory for Rs 35,000 but her mother was not very impressed with her purchase.Chabi recorded the conversation and posted it on Instagram with the caption, “My DPS belt” ft. Bihari mom"".Ranchi mein DPS ka belt jaisa lag raha hai."
542667,"Sept 23: In a major development, the Narcotics Control Bureau summoned Bollywood actors Deepika Padukone, Sara Ali Khan, Shraddha Kapoor, and Rakul Preet Singh for questioning in a drug-related case.Sept 23: In a major development, the Narcotics Control Bureau summoned Bollywood actors Deepika Padukone, Sara Ali Khan, Shraddha Kapoor, and Rakul Preet Singh for questioning in a drug-related case.May 28: A Mumbai court sent Sushant Singh Rajput’s former flatmate Siddharth Pithani to the custody of the Narcotics Control Bureau till June 1 in connection with a drug case linked with the death of the Bollywood actor last year."
542666,"He only had one wish - that he wanted to meet his idol Sonu Sood, the messiah of poor and needy.When he came forward to touch Sood's feet, the actor stepped back, held him up, and joined his hands asking him not to do so.Also Read: Man Walks 700 KM Barefoot From Hyderabad To Mumbai To Meet Sonu Sood, Actor Says He's 'Humbled'"
542663,"The terminal design of the upcoming airport takes its inspiration from the lotus flower, which symbolises purity and elegance.The design shown is of two parallel runways and aims to serve 90 million passengers per year, once it's fully ready.The plan for the upcoming airport will be done in four phases with two parallel runways capable of simultaneous operations with high-speed expressway suburban rail metro and water transport connectivity."
542662,"In a worrying development, the deadly Delta variant of COVID-19, has mutated into a version that could possibly be resistant to monoclonal antibodies cocktail used in COVID-19 treatment, The Times of India has reported.Read moreHere's more top news of the day:1) 28-YO Man Lynched In Assam On Suspicion Of Being A Cow ThiefA 28-year-old man was beaten to death at a village in the Tinsukia district of Assam by a mob that believed he was a cow thief as per PTI.Read more5) New Israeli PM Naftali Bennett Vows To Develop 'Unique And Warm Relations' With IndiaNewly sworn-in Prime Minister of Israel Naftali Bennett has said that he was looking forward to work with Prime Minister Narendra Modi of India."
542661,"The team had a meeting which lasted for more than 5-6 hours and anonymous opinion was made that the cause of death due to asphyxiation was as a result of antemortem which was suicidal in nature,"" he said.Wankhede said that he is confident of a conviction in the case and added that the agency has found strong, ""evidences, accounted seizures in terms of both drugs and the ill-gotten financial proceeds from it and established communication proof.Why were Shraddha Kapoor, Sara Ali Khan, Rakul Preet Singh and Deepika Padukone interrogated and what's the connection with SSR case?"
542660,"Skylo co-founder and CEO, Parth Trivedi (in centre)I teamed up with Professor Andrew Kalman, who is widely regarded as one of the original founders of the small satellite revolution that is now taking over the world, to make access to space affordable and commoditized.Skylo’s fundamental breakthrough was creating revolutionary hardware for ubiquitous connectivity at a disruptively low price point, coupled with a network which was completely software defined.Now the importance of remote connectivity, and being able to have visibility into what's going on in your business operations so that sitting at home in Vikhroli, or wherever you may be, you can monitor exactly what's going on in your mine in Orissa or your oil wellhead, you know, deep in Manipur, you are now becoming essentially omnipresent with this capability."
542658,"Shares of Adani Group companies saw a huge drubbing in morning trade on Monday, tumbling up to 25 per cent as per PTI.Meanwhile, Adani Group has said it has written confirmation that accounts of three foreign funds that are among its top shareholders are not frozen and reports to the contrary are ""blatantly erroneous and misleading"".Shares of Adani group companies plunged on Monday after reports that the National Securities Depository Ltd (NSDL) froze the accounts of the three foreign funds that are among the top stakeholders in the firms."
542657,Baby elephants can light up even your dullest days and we have a beautiful video to make you smile.A short video is doing the rounds on social media where a baby elephant was spotted pumping a tube well to drink water from it.The Jaldapara National Park was declared a sanctuary in 1941 and is situated in the foothills of the Eastern Himalayas in the Alipurduar District of northern West Bengal and on the banks of the Torsa River.
542655,"As the second wave of the coronavirus pandemic in the country left millions of people out of jobs, the daily wagers were among the worst-hit, and they continue to face the repercussions of the crisis.Members of this community have been relegated to weeding agricultural lands of others at night – with the light of a lantern – and constant fear of snake attacks.We are offering them emotional counselling and ration kits to navigate through the crisis,"" says Deepa, adding that she and her organisation are also helping girls from these communities get into school."
